Date & Time,Inside Temp - °C,Inside Hum - %,Temp - °C,Hum - %
9/16/19 19:30,29,54,25,89
9/16/19 19:40,29,53,25,91
9/16/19 19:50,29,53,26,89
9/16/19 20:00,29,52,26,89
9/16/19 20:10,29,52,25,91
9/16/19 20:20,29,52,25,90
9/16/19 20:30,29,51,25,91
9/16/19 20:40,29,51,25,92
9/16/19 20:50,29,51,25,90
9/16/19 21:00,29,51,25,90
9/16/19 21:10,29,52,25,90
9/16/19 21:20,29,51,26,88
9/16/19 21:30,29,52,25,90
9/16/19 21:40,29,53,25,91
9/16/19 21:50,29,54,25,93
9/16/19 22:00,29,56,25,93
9/16/19 22:10,29,55,25,93
9/16/19 22:20,29,53,25,94
9/16/19 22:30,29,53,25,92
9/16/19 22:40,29,52,25,92
9/16/19 22:50,29,52,25,92
9/16/19 23:00,29,52,25,92
9/16/19 23:10,29,52,25,92
9/16/19 23:20,29,52,25,91
9/16/19 23:30,29,51,26,90
9/16/19 23:40,29,52,25,91
9/16/19 23:50,29,51,26,90
9/17/19 00:00,29,51,25,91
9/17/19 00:10,29,52,25,92
9/17/19 00:20,29,52,25,93
9/17/19 00:30,29,51,25,92
9/17/19 00:40,29,51,25,93
9/17/19 00:50,29,51,25,93
9/17/19 01:00,29,51,25,93
9/17/19 01:10,29,51,25,93
9/17/19 01:20,29,52,25,92
9/17/19 01:30,29,51,25,94
9/17/19 01:40,29,51,25,94
9/17/19 01:50,29,52,25,93
9/17/19 02:00,29,52,25,94
9/17/19 02:10,29,54,25,94
9/17/19 02:20,29,56,25,95
9/17/19 02:30,29,57,25,95
9/17/19 02:40,29,56,25,95
9/17/19 02:50,29,56,25,95
9/17/19 03:00,29,55,25,95
9/17/19 03:10,29,55,25,95
9/17/19 03:20,29,54,25,96
9/17/19 03:30,29,54,25,94
9/17/19 03:40,29,54,25,94
9/17/19 03:50,29,53,25,94
9/17/19 04:00,29,53,25,94
9/17/19 04:10,29,53,25,94
9/17/19 04:20,29,53,25,94
9/17/19 04:30,29,53,25,94
9/17/19 04:40,29,53,25,94
9/17/19 04:50,29,53,25,93
9/17/19 05:00,29,53,25,93
9/17/19 05:10,29,53,25,94
9/17/19 05:20,29,53,25,94
9/17/19 05:30,29,53,25,94
9/17/19 05:40,29,53,25,93
9/17/19 05:50,29,53,25,93
9/17/19 06:00,29,53,25,94
9/17/19 06:10,29,54,25,94
9/17/19 06:20,29,54,25,93
9/17/19 06:30,29,55,25,94
9/17/19 06:40,29,56,25,94
9/17/19 06:50,29,57,25,94
9/17/19 07:00,29,56,25,93
9/17/19 07:10,30,56,25,93
9/17/19 07:20,30,57,26,91
9/17/19 07:30,30,56,26,89
9/17/19 07:40,30,57,26,89
9/17/19 07:50,30,58,26,89
9/17/19 08:20,29,54,27,85
9/17/19 08:30,29,53,27,86
9/17/19 08:40,29,40,28,84
9/17/19 08:50,28,42,27,84
9/17/19 09:00,28,43,27,84
9/17/19 09:10,27,45,27,86
9/17/19 09:20,27,46,28,83
9/17/19 09:30,27,46,29,80
9/17/19 09:40,27,46,29,79
9/17/19 09:50,27,46,29,77
9/17/19 10:00,27,46,29,78
9/17/19 10:10,27,46,29,76
9/17/19 10:20,27,47,30,75
9/17/19 10:30,27,47,30,75
9/17/19 10:50,27,48,30,72
9/17/19 11:00,27,48,30,72
9/17/19 11:10,28,46,31,72
9/17/19 11:20,28,45,31,70
9/17/19 11:30,28,46,31,70
9/17/19 12:00,27,47,31,68
9/17/19 12:10,26,48,31,67
9/17/19 12:20,26,48,32,63
9/17/19 12:30,26,48,31,65
9/17/19 12:40,26,48,32,66
9/17/19 12:50,26,49,32,64
9/17/19 13:00,26,49,33,59
9/17/19 13:10,26,49,33,57
9/17/19 13:20,26,49,33,61
9/17/19 13:30,26,49,33,60
